date,0_control_children_population_percentage,1_working_age_population_percentage,2_labor_force_participation_rate,3_inflation,4_population_not_rec_social_protection,birth_rate
1/1/1998,32.68054937,,,18.67698137,,21.796
1/1/1998,39.18682493,,,11.55326844,,28.687
1/1/1998,24.74060929,0.415839881,0.614697278,1.811735562,,16.857
1/1/1998,38.99626152,,,7.673228957,,31.941
1/1/1998,35.17713749,0.369242758,0.732838333,7.247821752,,25.172
1/1/1998,27.9324903,0.443143249,0.558897495,5.11243162,,17.818
1/1/1998,35.75134045,,,4.586466165,,26.734
1/1/1998,31.29133439,0.416796267,0.669062316,3.195762929,,21.256
1/1/1998,35.05793134,0.393468112,0.65382278,,,24.55
1/1/1998,28.40599709,0.411516994,0.571232915,,,19.727
1/1/1999,32.76874024,0.44713527,0.556264937,98.77391411,,23.648
1/1/1999,35.13812869,0.365415871,0.735802233,52.24235975,,25.424
1/1/1999,32.08892858,0.405610591,0.609171093,1.873686311,,21.355
1/1/1999,35.86864704,0.38705796,0.580871224,7.538219399,,26.237
1/1/1999,38.7381067,,,6.752265861,,27.893
1/1/1999,24.66562597,,,5.658688393,,16.617
1/1/1999,30.70320816,0.419190407,0.67655164,4.858447499,,20.753
1/1/1999,34.78019251,0.366609216,0.733255744,3.469659963,,24.615
1/1/1999,27.55327469,,,3.336885341,,17.369
1/1/1999,38.66136313,0.354964226,0.709458828,2.159516268,,31.435
1/1/1999,34.62885137,0.39651373,0.794385374,,,24.147
1/1/1999,28.19519163,0.414629459,0.577128708,,,19.55
1/1/2000,34.7386677,0.368956834,0.651023507,96.94113694,,24.922
1/1/2000,32.36160799,,,59.41686546,,23.209
1/1/2000,31.53264094,,,9.225346832,,20.959
1/1/2000,38.22601693,,,8.982159768,,27.079
1/1/2000,30.12024177,,,7.441415947,,20.204
1/1/2000,36.16509204,,,6.148543332,,25.685
1/1/2000,24.56184353,0.411773473,0.608243644,4.763824727,,16.398
1/1/2000,38.31607893,0.351329207,0.711447537,4.682299887,,30.905
1/1/2000,27.11566995,0.448473781,0.555829585,3.843273291,,16.959
1/1/2000,34.35496265,0.369411111,0.733332694,3.757338333,,24.1
1/1/2000,34.15401371,0.399941087,0.646109462,,,23.773
1/1/2000,27.98482475,0.415900588,0.580950022,,,19.413
1/1/2001,32.09381672,,,38.58628789,,22.786
1/1/2001,34.37493362,,,37.67829421,,24.454
1/1/2001,30.95334643,0.402293175,0.658514619,7.96556175,,20.593
1/1/2001,37.73471209,,,7.268628585,,26.291
1/1/2001,29.60980175,0.427642047,0.670128942,6.843592488,,19.618
1/1/2001,24.41367159,0.413495749,0.61702317,4.359346522,,16.2
1/1/2001,26.65746367,,,3.569116886,,16.595
1/1/2001,36.17165805,,,2.627413142,,25.083
1/1/2001,33.83600082,0.381600529,0.71971494,1.977987853,,23.627
1/1/2001,38.0184255,0.344694436,0.739949465,1.589653779,,30.356
1/1/2001,33.68806175,0.403748244,0.675782502,,,23.426
1/1/2001,27.7334094,0.412896335,0.569159865,,,19.302
1/1/2002,31.79627529,,,15.52739892,,22.371
1/1/2002,24.28086291,0.41707477,0.601641834,13.97247259,,16.015
1/1/2002,33.9673089,,,12.48418572,,24.032
1/1/2002,37.14941934,0.349880397,0.695668101,1.512428566,,25.57
1/1/2002,29.06582195,0.432742447,0.678211093,8.451643778,,19.016
1/1/2002,30.4387702,0.404158205,0.663142204,6.351577518,,20.234
1/1/2002,36.28166047,,,5.341152138,,24.446
1/1/2002,26.15251188,,,2.489394543,,16.277
1/1/2002,37.69269571,0.345999241,0.716719151,0.928258852,,29.796
1/1/2002,33.31645206,0.38866812,0.720368862,0.193135385,,23.19
1/1/2002,33.19072601,0.407462865,0.691625357,,,23.101
1/1/2002,27.5273355,0.41292575,0.579663515,,,19.199
1/1/2003,31.48534194,,,23.22321778,,21.964
1/1/2003,24.13925513,0.416760653,0.592182398,19.37973174,,15.837
1/1/2003,28.51079258,0.437329233,0.678123236,14.71491972,,18.42
1/1/2003,36.50984763,0.351535976,0.683586895,14.2367975,,24.944
1/1/2003,33.53210529,0.376859665,0.709890664,7.929415234,,23.661
1/1/2003,29.95912593,0.409714699,0.675981998,7.129787972,,19.865
1/1/2003,36.39428774,,,5.989781466,,23.798
1/1/2003,37.34806059,0.342222512,0.731458426,3.337274997,,29.234
1/1/2003,25.61718561,0.454117537,0.569768608,2.811786119,,16
1/1/2003,32.78505419,0.390773833,0.748731375,2.259377534,,22.785
1/1/2003,32.67714202,0.409925461,0.694733381,,,22.792
1/1/2003,27.34124456,0.422854811,0.624328375,,,19.091
1/1/2004,31.16929684,,,9.98632512,,21.565
1/1/2004,23.97150985,0.418166399,0.595339179,9.15765755,,15.667
1/1/2004,27.96851103,0.440383703,0.685662687,6.597185999,,17.845
1/1/2004,29.46635608,0.413295776,0.656223595,5.942196845,,19.48
1/1/2004,36.38292721,,,4.668466224,,23.164
1/1/2004,36.99249343,,,4.437388117,,28.678
1/1/2004,35.87617949,0.358487636,0.71893096,4.32326493,,24.422
1/1/2004,32.23965627,0.393310547,0.745568156,3.662473292,,22.41
1/1/2004,33.0995325,0.385332555,0.714884758,2.742181329,,23.343
1/1/2004,25.08445403,,,1.547387566,,15.759
